Dataset,Instance,RL_Makespan,RL_Time,OR_Makespan,OR_Time,Gap(%)
Hurink_rdata,HurinkRdata19.fjs,911.0,222.3635880947113,717.0,1.8749973773956299,27.05718270571827
Hurink_rdata,HurinkRdata20.fjs,764.0,219.5642683506012,646.0,0.3958146572113037,18.26625386996904
Hurink_rdata,HurinkRdata21.fjs,744.0,219.91133332252502,666.0,1.181814432144165,11.711711711711711
Hurink_rdata,HurinkRdata22.fjs,898.0,243.71347784996033,700.0,3.4287171363830566,28.285714285714285
Hurink_rdata,HurinkRdata23.fjs,888.0,220.34631943702698,756.0,0.665163516998291,17.46031746031746
Hurink_rdata,HurinkRdata4.fjs,679.0,113.05484557151794,571.0,60.09102463722229,18.914185639229423
Hurink_rdata,HurinkRdata5.fjs,638.0,110.79316115379333,529.0,60.08283615112305,20.604914933837428
Hurink_rdata,HurinkRdata6.fjs,569.0,112.7428982257843,478.0,60.09987664222717,19.03765690376569
Hurink_rdata,HurinkRdata7.fjs,612.0,112.40233945846558,502.0,60.08619737625122,21.91235059760956
Hurink_rdata,HurinkRdata8.fjs,521.0,113.25623679161072,457.0,60.07372331619263,14.00437636761488
Hurink_vdata,HurinkVdata19.fjs,779.0,223.9589557647705,717.0,3.1899540424346924,8.647140864714087
Hurink_vdata,HurinkVdata20.fjs,656.0,229.4346182346344,646.0,2.0408780574798584,1.5479876160990713
Hurink_vdata,HurinkVdata21.fjs,736.0,237.30600714683533,663.0,1.8827290534973145,11.010558069381599
Hurink_vdata,HurinkVdata22.fjs,750.0,235.31472969055176,617.0,10.586882829666138,21.555915721231766
Hurink_vdata,HurinkVdata23.fjs,756.0,252.39405250549316,756.0,1.2878224849700928,0.0
Hurink_vdata,HurinkVdata4.fjs,631.0,120.65792918205261,570.0,60.126261711120605,10.701754385964913
Hurink_vdata,HurinkVdata5.fjs,589.0,119.37258100509644,529.0,60.081727504730225,11.342155009451796
Hurink_vdata,HurinkVdata6.fjs,562.0,118.66438913345337,477.0,60.082584619522095,17.81970649895178
Hurink_vdata,HurinkVdata7.fjs,581.0,119.9192054271698,502.0,60.0798442363739,15.737051792828685
Hurink_vdata,HurinkVdata8.fjs,541.0,120.63561248779297,458.0,60.155181646347046,18.12227074235808
